img,x,y,brightness,alpha,surrounding_brightness
src/data/2.png,27,2,36,255,24
src/data/2.png,7,3,43,255,26
src/data/2.png,8,3,30,255,29
src/data/2.png,9,3,27,255,30
src/data/2.png,10,3,25,255,33
src/data/2.png,11,3,25,255,32
src/data/2.png,12,3,29,255,30
src/data/2.png,13,3,36,255,29
src/data/2.png,14,3,43,255,31
src/data/2.png,15,3,47,255,30
src/data/2.png,24,3,29,255,24
src/data/2.png,25,3,22,255,25
src/data/2.png,26,3,17,255,26
src/data/2.png,27,3,19,255,23
src/data/2.png,28,3,24,255,23
src/data/2.png,29,3,34,255,21
src/data/2.png,4,4,47,255,32
src/data/2.png,5,4,35,255,32
src/data/2.png,6,4,28,255,33
src/data/2.png,7,4,25,255,32
src/data/2.png,8,4,24,255,32
src/data/2.png,9,4,29,255,28
src/data/2.png,10,4,38,255,30
src/data/2.png,11,4,44,255,29
src/data/2.png,25,4,46,255,24
src/data/2.png,26,4,30,255,27
src/data/2.png,27,4,21,255,24
src/data/2.png,28,4,15,255,25
src/data/2.png,29,4,17,255,23
src/data/2.png,30,4,28,255,23
src/data/2.png,3,5,39,255,34
src/data/2.png,4,5,29,255,35
src/data/2.png,5,5,28,255,34
src/data/2.png,6,5,32,255,32
src/data/2.png,7,5,40,255,27
src/data/2.png,27,5,42,255,23
src/data/2.png,28,5,27,255,24
src/data/2.png,29,5,18,255,23
src/data/2.png,30,5,19,255,23
src/data/2.png,31,5,27,255,24
src/data/2.png,32,5,38,255,25
src/data/2.png,1,6,40,255,31
src/data/2.png,2,6,34,255,34
src/data/2.png,3,6,32,255,35
src/data/2.png,4,6,32,255,35
src/data/2.png,5,6,37,255,33
src/data/2.png,29,6,34,255,23
src/data/2.png,30,6,22,255,23
src/data/2.png,31,6,17,255,24
src/data/2.png,32,6,21,255,25
src/data/2.png,33,6,37,255,24
src/data/2.png,0,7,32,255,38
src/data/2.png,1,7,29,255,37
src/data/2.png,2,7,29,255,36
src/data/2.png,3,7,37,255,35
src/data/2.png,4,7,46,255,34
src/data/2.png,30,7,32,255,27
src/data/2.png,31,7,20,255,23
src/data/2.png,32,7,14,255,22
src/data/2.png,33,7,26,255,24
src/data/2.png,0,8,46,255,35
src/data/2.png,1,8,40,255,35
src/data/2.png,2,8,41,255,33
src/data/2.png,30,8,44,255,26
